# YYYYMM,CRUISE_CODE,SITE_NAME,LAT,LON,DATE_TIME_XLS_LOCAL,DATE_TIME_XLS_UTC,YYYYMMDD_UTC,YYYY,MM,DD,DOY_UTC,TIME_DECIMAL_UTC,TIME_HH_DECMM_UTC,_SALINITY,TCHL_A,TSS,NAP,A_PHY_STAR_440NM,A_PHY_STAR_676NM,A_PHY_STAR_440NM_676NM,A_PHY_STAR_380NM_440NM,A_PHY_STAR_400NM_440NM,A_CDOM_SLOPE,A_CDOM_440NM,A_NAP_STAR_440NM,A_NAP_SLOPE,BB_NAP_STAR_555NM,BB_NAP_SLOPE,B_NAP_STAR_555NM,BB_B_RATIO,TSS_ORG,PHY_MICRO,PHY_NANO,PHY_PICO,PHY_SIZE_IND,COUNT_999
200219,AO02,SAT020,-20.2913333,148.818,37557.59722,37557.18056,20021028,2002,10,28,301,0.1805556,4.3333333,35.8,0.4026223,3.4,3.3718164,0.0823842,0.0240534,3.4250515,0.6980314,0.7284908,-0.0228854,0.0178486,0.0098842,-0.0126548,0.0040682,0.81203,0.2131471,0.0190359,-999,0.1275416,0.2007806,0.6716777,8.0526617,0
200220,AO02,SAT021,-20.182,148.6671667,37557.68403,37557.26736,20021028,2002,10,28,301,0.2673611,6.4166667,35.82,0.5053422,4.6,4.564626,0.0966514,0.0289203,3.3419893,0.76978,0.7933868,-0.0145197,0.0358658,0.0117543,-0.0124189,0.0048924,1.308582,0.2483913,0.0196631,-999,0.164194,0.2099419,0.6258641,9.885272,0
200221,AO02,SAT023,-20.1793333,148.6678333,37558.37847,37557.96181,20021028,2002,10,28,301,0.9618056,23.0833333,35.88,0.5503835,4.7,4.6614732,0.0893453,0.0258418,3.4573975,0.8280966,0.8348173,-0.0135211,0.049115,0.0167292,-0.0140885,-999,-999,-999,-999,-999,0.2054086,0.1592185,0.635373,11.7018945,2
200222,AO02,SAT024,-19.9998333,148.4311667,37558.48264,37558.06597,20021029,2002,10,29,302,0.0659722,1.5833333,35.95,0.5826008,4.2,4.1592179,0.0848063,0.0276578,3.0662687,0.7785867,0.7824832,-0.0289561,0.0088202,0.0131014,-0.0135921,0.0060129,0.823365,0.3247857,0.0184872,-999,0.2483355,0.212494,0.5391705,14.0184179,0
200223,AO02,SAT025,-19.7588333,147.7385,37558.75694,37558.34028,20021029,2002,10,29,302,0.3402778,8.1666667,36.36,1.3882932,10.9,10.8028195,0.0709463,0.0219786,3.2279706,0.897324,0.8425319,-0.0164768,0.0820936,0.0273791,-0.0132774,0.0079066,0.771586,0.3950734,0.020004,-999,0.3208253,0.1202908,0.5588838,17.201605,0
200309,FK03,FK01,-23.3859333,150.5619167,37869.35278,37868.93611,20030904,2003,9,4,247,0.9361111,22.4666667,29.1,7.28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.940146,0,0.0309503,-999,-999,-999,-999,-999,8
200309,FK03,FK02,-23.4781167,150.6274833,37869.45834,37869.04168,20030905,2003,9,5,248,0.0416782,1,32.7,2.11,-999,-999,-999,-999,-999,-999,-999,-0.0183122,0.4705894,-999,-999,-999,0.996588,0,0.0405413,-999,-999,-999,-999,-999,6
200309,FK03,FK05,-23.5,150.895,0.6736111,0.2569444,19000100,1900,1,0,0,0.2569444,6.1666667,-999,1.5,-999,-999,0.2290501,0.0179289,12.7754612,4.0574083,2.2965167,-0.0140897,0.169665,-999,-999,-999,1.049948,0,0.0553719,-999,0.79,0.04,0.18,39.69,4
200309,FK03,FK09,-23.41835,151.15625,0.4389005,0.0222338,19000100,1900,1,0,0,0.0222338,0.5333333,36,1.27037,0.8,0.7110741,0.0243054,0.0130611,1.8608928,2.2958264,0.8802404,-0.0115848,0.0830631,0.0280795,-0.009906,0.0062962,0.42098,0.7195763,0.0087499,-999,0.22,0.09,0.7,11.96,0
200309,FK03,FK10,-23.4027,151.04595,37870.43682,37870.02015,20030906,2003,9,6,249,0.0201505,0.4833333,36.09,0.4,-999,-999,0.0703121,0.0255061,2.7566764,0.7487705,0.7355684,-0.0147627,0.0455222,-999,-999,-999,0.598425,0,0.0179193,-999,0.37,0.19,0.44,20.01,4
200309,FK03,FK11,-23.4270333,150.9906,37870.53333,37870.11667,20030906,2003,9,6,249,0.1166667,2.8,36.03,0.58,-999,-999,0.0630196,0.0194242,3.2443829,1.0420271,0.920653,-0.0135351,0.0662411,-999,-999,-999,0.585473,0,0.020409,-999,0.42,0.16,0.42,22.16,4
200309,FK03,FK15,-23.38555,150.8978333,37871.38543,37870.96876,20030906,2003,9,6,249,0.9687616,23.25,36.1,0.7436701,2.4,2.3479431,0.0502179,0.0192788,2.6048224,0.7207664,0.7424771,-0.0154498,0.0940674,0.0384267,-0.0118626,0.0162704,0.442861,0.9774271,0.0166462,-999,0.43,0.17,0.4,22.57,0
200309,FK03,FK18,-23.31985,151.1169,37871.48473,37871.06807,20030907,2003,9,7,250,0.0680671,1.6333333,36.1,0.1491773,3.8,3.7895576,0.0860194,0.0275875,3.1180518,0.8603615,0.8189113,-0.0129543,0.0352521,0.0014501,-0.0106285,0.0008095,0.371436,0.0948813,0.0085314,-999,0.34,0.12,0.55,18.12,0
200309,FK03,FK19,-23.3906,151.0287,37871.52083,37871.10417,20030907,2003,9,7,250,0.1041667,2.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
200309,FK03,FK21,-23.5661833,150.8615833,37872.62779,37872.21112,20030908,2003,9,8,251,0.2111227,5.0666667,36.4,1.9933518,-999,-999,-999,-999,-999,-999,-999,-0.0177432,0.1388658,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7
200309,FK03,FK22,-23.5554667,150.8224333,37872.36459,37871.94793,20030907,2003,9,7,250,0.9479282,22.75,36.4,2.1095642,-999,-999,-999,-999,-999,-999,-999,-0.0148468,0.2717054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7
200309,FK03,FK23,-23.6044833,150.7939,37872.42432,37872.00765,20030908,2003,9,8,251,0.0076505,0.1833333,36.55,1.8293996,-999,-999,-999,-999,-999,-999,-999,-0.0164406,0.2385498,-999,-999,-999,1.000626,0,0.0403764,-999,-999,-999,-999,-999,6
200309,FK03,FK24,-23.5890833,150.74095,37872.42223,37872.00557,20030908,2003,9,8,251,0.0055671,0.1333333,36.66,2.3337918,-999,-999,-999,-999,-999,-999,-999,-0.0162186,0.2796083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7
200309,FK03,FK27,-23.6044833,150.7939,37872.53762,37872.12095,20030908,2003,9,8,251,0.1209491,2.9,36.66,-999,-999,-999,-999,-999,-999,-999,-999,-0.0165458,0.2509458,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8
200309,FK03,FK28,-23.5554667,150.8224333,37872.59377,37872.17711,20030908,2003,9,8,251,0.1771065,4.25,36.53,-999,-999,-999,-999,-999,-999,-999,-999,-0.0165439,0.2318481,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8
200309,FK03,FK29,-23.5661833,150.8615833,37872.61807,37872.2014,20030908,2003,9,8,251,0.2014005,4.8333333,36.46,-999,-999,-999,-999,-999,33.0135841,3.7262139,2.4692147,-0.0168433,0.2163197,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8
200309,FK03,FK30,-23.5018333,150.9523,37873.63681,37873.22014,20030909,2003,9,9,252,0.2201389,5.2833333,36.16,0.7461727,11,10.9477679,0.057563,0.0184573,3.1187069,0.6388489,0.7999809,-0.0145608,0.0781725,0.0390646,-0.0135635,0.0452324,0.988231,1.5497049,0.0291877,-999,0.54,0.16,0.3,28.03,0
200309,FK03,FK32,-23.3651167,150.9517667,37873.41323,37872.99656,20030908,2003,9,8,251,0.9965625,23.9166667,36.14,0.4873161,2.3,2.2658879,0.0743154,0.0258466,2.8752525,0.8608836,0.80893,-999,-999,0.0344001,-0.0114993,0.0107591,0.35673,0.7618804,0.0141218,-999,0.39,0.2,0.41,21.03,2
200309,FK03,FK34,-23.3449333,150.8345667,37873.49586,37873.07919,20030909,2003,9,9,252,0.0791898,1.9,39.4,0.3624809,3.9,3.8746263,0.0641163,0.0212012,3.0241778,0.7951033,0.7069261,-0.0214649,0.0476571,0.0200051,-0.0117831,0.0088462,0.703315,0.6378246,0.0138693,-999,0.43,0.21,0.36,23.07,0
200309,FK03,FK35,-23.3215917,150.8890167,37873.51598,37873.09932,20030909,2003,9,9,252,0.0993171,2.3833333,36.33,0.2564066,1.7,1.6820515,0.0677058,0.0236181,2.8666937,0.7082865,0.6900725,-0.0167414,0.0725724,0.02885,-0.0113348,0.0092641,0.426664,1.2344253,0.0075048,-999,0.35,0.18,0.47,18.92,0
200309,FK03,FK38,-23.2623,150.8679,37874.36112,37873.94446,20030909,2003,9,9,252,0.944456,22.6666667,36.4,0.3943765,-999,-999,0.0642326,0.0260591,2.4648817,1.0320724,0.7960882,-0.0238945,0.0214104,-999,-999,-999,0.5508,0,0.0138015,-999,0.31,0.21,0.48,17.19,4
200309,FK03,FK40,-23.2626833,150.9950833,37874.40836,37873.99169,20030909,2003,9,9,252,0.9916898,23.8,36.28,0.5245266,1,0.9632831,0.0494846,0.0197744,2.5024545,1.1696427,0.8233188,-0.0284026,0.0103269,0.0147021,-0.0117981,0.004534,0.518808,0.337922,0.0134173,-999,0.35,0.25,0.41,18.98,0
200309,FK03,FK41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
200309,FK03,FK42,-23.2427167,151.0940167,37874.47362,37874.05696,20030910,2003,9,10,253,0.056956,1.3666667,36.04,0.2600064,-999,-999,0.0780104,0.0296169,2.6339774,0.887181,0.7625745,-999,-999,-999,-999,-999,4.722909,0,0.0134137,-999,0.34,0.32,0.34,18.82,6
200309,FK03,FK44,-23.17095,150.8385333,37874.53821,37874.12154,20030910,2003,9,10,253,0.1215394,2.9166667,36.39,0.1644508,-999,-999,0.0915613,0.0268168,3.4143231,0.8639956,0.8464203,-0.0197526,0.0366126,-999,-999,-999,0.430919,0,0.0181242,-999,0.36,0.2,0.45,19.24,4
200309,FK03,FK45,-23.1520167,150.7949667,37875.62291,37875.20624,20030911,2003,9,11,254,0.2062384,4.9333333,36.7,0.2410768,-999,-999,0.0761441,0.0247733,3.0736389,0.8469583,0.8279688,-0.0141744,0.0643869,-999,-999,-999,0.435173,0,0.0175857,-999,0.51,0.16,0.33,26.83,4
200309,FK03,FK48,-23.1050667,150.9109667,37875.38334,37874.96668,20030910,2003,9,10,253,0.9666782,23.2,36.24,0.9626727,1.4,1.3326129,0.0372782,0.0173753,2.145474,1.487183,0.7926063,-999,-999,-999,-999,0.0027029,0.565014,0.271375,0.0099599,-999,0.3,0.28,0.42,16.77,4
200309,FK03,FK49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
